CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031400000000000TF0F;01/01/2024;1;0,392;R
ES0031400000000000TF0F;01/01/2024;2;0,208;R
ES0031400000000000TF0F;01/01/2024;3;0,283;R
ES0031400000000000TF0F;01/01/2024;4;0,267;R
ES0031400000000000TF0F;01/01/2024;5;0,421;R
ES0031400000000000TF0F;01/01/2024;6;0,403;R
ES0031400000000000TF0F;01/01/2024;7;0,468;R
ES0031400000000000TF0F;01/01/2024;8;0,426;R
ES0031400000000000TF0F;01/01/2024;9;0,527;R
ES0031400000000000TF0F;01/01/2024;10;0,709;R
ES0031400000000000TF0F;01/01/2024;11;0,766;R
ES0031400000000000TF0F;01/01/2024;12;0,852;R
ES0031400000000000TF0F;01/01/2024;13;0,708;R
ES0031400000000000TF0F;01/01/2024;14;0,76;R
ES0031400000000000TF0F;01/01/2024;15;0,595;R
ES0031400000000000TF0F;01/01/2024;16;0,563;R
ES0031400000000000TF0F;01/01/2024;17;0,466;R
ES0031400000000000TF0F;01/01/2024;18;0,877;R
ES0031400000000000TF0F;01/01/2024;19;0,943;R
ES0031400000000000TF0F;01/01/2024;20;0,702;R
ES0031400000000000TF0F;01/01/2024;21;0,942;R
ES0031400000000000TF0F;01/01/2024;22;0,909;R
ES0031400000000000TF0F;01/01/2024;23;0,302;R
ES0031400000000000TF0F;01/01/2024;24;0,247;R
ES0031400000000000TF0F;02/01/2024;1;0,487;R
ES0031400000000000TF0F;02/01/2024;2;0,301;R
ES0031400000000000TF0F;02/01/2024;3;0,228;R
ES0031400000000000TF0F;02/01/2024;4;0,229;R
ES0031400000000000TF0F;02/01/2024;5;0,454;R
ES0031400000000000TF0F;02/01/2024;6;0,381;R
ES0031400000000000TF0F;02/01/2024;7;0,442;R
ES0031400000000000TF0F;02/01/2024;8;0,619;R
ES0031400000000000TF0F;02/01/2024;9;0,561;R
ES0031400000000000TF0F;02/01/2024;10;0,992;R
ES0031400000000000TF0F;02/01/2024;11;0,814;R
ES0031400000000000TF0F;02/01/2024;12;0,866;R
ES0031400000000000TF0F;02/01/2024;13;0,949;R
ES0031400000000000TF0F;02/01/2024;14;0,886;R
ES0031400000000000TF0F;02/01/2024;15;0,659;R
ES0031400000000000TF0F;02/01/2024;16;0,573;R
ES0031400000000000TF0F;02/01/2024;17;0,611;R
ES0031400000000000TF0F;02/01/2024;18;0,714;R
ES0031400000000000TF0F;02/01/2024;19;0,768;R
ES0031400000000000TF0F;02/01/2024;20;0,787;R
ES0031400000000000TF0F;02/01/2024;21;0,724;R
ES0031400000000000TF0F;02/01/2024;22;0,77;R
ES0031400000000000TF0F;02/01/2024;23;0,23;R
ES0031400000000000TF0F;02/01/2024;24;0,283;R
ES0031400000000000TF0F;03/01/2024;1;0,391;R
ES0031400000000000TF0F;03/01/2024;2;0,309;R
ES0031400000000000TF0F;03/01/2024;3;0,311;R
ES0031400000000000TF0F;03/01/2024;4;0,263;R
ES0031400000000000TF0F;03/01/2024;5;0,28;R
ES0031400000000000TF0F;03/01/2024;6;0,481;R
ES0031400000000000TF0F;03/01/2024;7;0,394;R
ES0031400000000000TF0F;03/01/2024;8;0,583;R
ES0031400000000000TF0F;03/01/2024;9;0,451;R
ES0031400000000000TF0F;03/01/2024;10;0,919;R
ES0031400000000000TF0F;03/01/2024;11;0,749;R
ES0031400000000000TF0F;03/01/2024;12;0,814;R
ES0031400000000000TF0F;03/01/2024;13;0,997;R
ES0031400000000000TF0F;03/01/2024;14;0,892;R
ES0031400000000000TF0F;03/01/2024;15;0,567;R
ES0031400000000000TF0F;03/01/2024;16;0,605;R
ES0031400000000000TF0F;03/01/2024;17;0,653;R
ES0031400000000000TF0F;03/01/2024;18;0,933;R
ES0031400000000000TF0F;03/01/2024;19;0,769;R
ES0031400000000000TF0F;03/01/2024;20;0,71;R
ES0031400000000000TF0F;03/01/2024;21;0,795;R
ES0031400000000000TF0F;03/01/2024;22;0,78;R
ES0031400000000000TF0F;03/01/2024;23;0,263;R
ES0031400000000000TF0F;03/01/2024;24;0,483;R
ES0031400000000000TF0F;04/01/2024;1;0,463;R
ES0031400000000000TF0F;04/01/2024;2;0,294;R
ES0031400000000000TF0F;04/01/2024;3;0,397;R
ES0031400000000000TF0F;04/01/2024;4;0,319;R
ES0031400000000000TF0F;04/01/2024;5;0,474;R
ES0031400000000000TF0F;04/01/2024;6;0,338;R
ES0031400000000000TF0F;04/01/2024;7;0,279;R
ES0031400000000000TF0F;04/01/2024;8;0,474;R
ES0031400000000000TF0F;04/01/2024;9;0,568;R
ES0031400000000000TF0F;04/01/2024;10;0,779;R
ES0031400000000000TF0F;04/01/2024;11;0,875;R
ES0031400000000000TF0F;04/01/2024;12;0,969;R
ES0031400000000000TF0F;04/01/2024;13;0,82;R
ES0031400000000000TF0F;04/01/2024;14;0,766;R
ES0031400000000000TF0F;04/01/2024;15;0,699;R
ES0031400000000000TF0F;04/01/2024;16;0,553;R
ES0031400000000000TF0F;04/01/2024;17;0,427;R
ES0031400000000000TF0F;04/01/2024;18;0,714;R
ES0031400000000000TF0F;04/01/2024;19;0,733;R
ES0031400000000000TF0F;04/01/2024;20;0,888;R
ES0031400000000000TF0F;04/01/2024;21;0,938;R
ES0031400000000000TF0F;04/01/2024;22;0,827;R
ES0031400000000000TF0F;04/01/2024;23;0,219;R
ES0031400000000000TF0F;04/01/2024;24;0,314;R
ES0031400000000000TF0F;05/01/2024;1;0,499;R
ES0031400000000000TF0F;05/01/2024;2;0,359;R
ES0031400000000000TF0F;05/01/2024;3;0,491;R
ES0031400000000000TF0F;05/01/2024;4;0,458;R
ES0031400000000000TF0F;05/01/2024;5;0,203;R
ES0031400000000000TF0F;05/01/2024;6;0,416;R
ES0031400000000000TF0F;05/01/2024;7;0,405;R
ES0031400000000000TF0F;05/01/2024;8;0,561;R
ES0031400000000000TF0F;05/01/2024;9;0,48;R
ES0031400000000000TF0F;05/01/2024;10;0,892;R
ES0031400000000000TF0F;05/01/2024;11;0,733;R
ES0031400000000000TF0F;05/01/2024;12;0,83;R
ES0031400000000000TF0F;05/01/2024;13;0,836;R
ES0031400000000000TF0F;05/01/2024;14;0,986;R
ES0031400000000000TF0F;05/01/2024;15;0,663;R
ES0031400000000000TF0F;05/01/2024;16;0,479;R
ES0031400000000000TF0F;05/01/2024;17;0,55;R
ES0031400000000000TF0F;05/01/2024;18;0,754;R
ES0031400000000000TF0F;05/01/2024;19;0,974;R
ES0031400000000000TF0F;05/01/2024;20;0,961;R
ES0031400000000000TF0F;05/01/2024;21;0,79;R
ES0031400000000000TF0F;05/01/2024;22;0,892;R
ES0031400000000000TF0F;05/01/2024;23;0,383;R
ES0031400000000000TF0F;05/01/2024;24;0,246;R
ES0031400000000000TF0F;06/01/2024;1;0,429;R
ES0031400000000000TF0F;06/01/2024;2;0,362;R
ES0031400000000000TF0F;06/01/2024;3;0,434;R
ES0031400000000000TF0F;06/01/2024;4;0,359;R
ES0031400000000000TF0F;06/01/2024;5;0,2;R
ES0031400000000000TF0F;06/01/2024;6;0,297;R
ES0031400000000000TF0F;06/01/2024;7;0,206;R
ES0031400000000000TF0F;06/01/2024;8;0,479;R
ES0031400000000000TF0F;06/01/2024;9;0,464;R
ES0031400000000000TF0F;06/01/2024;10;0,749;R
ES0031400000000000TF0F;06/01/2024;11;0,592;R
ES0031400000000000TF0F;06/01/2024;12;0,517;R
ES0031400000000000TF0F;06/01/2024;13;0,763;R
ES0031400000000000TF0F;06/01/2024;14;0,784;R
ES0031400000000000TF0F;06/01/2024;15;0,226;R
ES0031400000000000TF0F;06/01/2024;16;0,346;R
ES0031400000000000TF0F;06/01/2024;17;0,221;R
ES0031400000000000TF0F;06/01/2024;18;0,728;R
ES0031400000000000TF0F;06/01/2024;19;0,73;R
ES0031400000000000TF0F;06/01/2024;20;0,539;R
ES0031400000000000TF0F;06/01/2024;21;0,643;R
ES0031400000000000TF0F;06/01/2024;22;0,665;R
ES0031400000000000TF0F;06/01/2024;23;0,28;R
ES0031400000000000TF0F;06/01/2024;24;0,462;R
ES0031400000000000TF0F;07/01/2024;1;0,327;R
ES0031400000000000TF0F;07/01/2024;2;0,264;R
ES0031400000000000TF0F;07/01/2024;3;0,362;R
ES0031400000000000TF0F;07/01/2024;4;0,419;R
ES0031400000000000TF0F;07/01/2024;5;0,26;R
ES0031400000000000TF0F;07/01/2024;6;0,294;R
ES0031400000000000TF0F;07/01/2024;7;0,499;R
ES0031400000000000TF0F;07/01/2024;8;0,395;R
ES0031400000000000TF0F;07/01/2024;9;0,331;R
ES0031400000000000TF0F;07/01/2024;10;0,655;R
ES0031400000000000TF0F;07/01/2024;11;0,536;R
ES0031400000000000TF0F;07/01/2024;12;0,567;R
ES0031400000000000TF0F;07/01/2024;13;0,601;R
ES0031400000000000TF0F;07/01/2024;14;0,676;R
ES0031400000000000TF0F;07/01/2024;15;0,269;R
ES0031400000000000TF0F;07/01/2024;16;0,266;R
ES0031400000000000TF0F;07/01/2024;17;0,221;R
ES0031400000000000TF0F;07/01/2024;18;0,689;R
ES0031400000000000TF0F;07/01/2024;19;0,569;R
ES0031400000000000TF0F;07/01/2024;20;0,772;R
ES0031400000000000TF0F;07/01/2024;21;0,758;R
ES0031400000000000TF0F;07/01/2024;22;0,521;R
ES0031400000000000TF0F;07/01/2024;23;0,271;R
ES0031400000000000TF0F;07/01/2024;24;0,401;R
ES0031400000000000TF0F;08/01/2024;1;0,264;R
ES0031400000000000TF0F;08/01/2024;2;0,24;R
ES0031400000000000TF0F;08/01/2024;3;0,481;R
ES0031400000000000TF0F;08/01/2024;4;0,371;R
ES0031400000000000TF0F;08/01/2024;5;0,342;R
ES0031400000000000TF0F;08/01/2024;6;0,435;R
ES0031400000000000TF0F;08/01/2024;7;0,442;R
ES0031400000000000TF0F;08/01/2024;8;0,457;R
ES0031400000000000TF0F;08/01/2024;9;0,429;R
ES0031400000000000TF0F;08/01/2024;10;0,829;R
ES0031400000000000TF0F;08/01/2024;11;0,827;R
ES0031400000000000TF0F;08/01/2024;12;0,84;R
ES0031400000000000TF0F;08/01/2024;13;0,919;R
ES0031400000000000TF0F;08/01/2024;14;0,902;R
ES0031400000000000TF0F;08/01/2024;15;0,695;R
ES0031400000000000TF0F;08/01/2024;16;0,43;R
ES0031400000000000TF0F;08/01/2024;17;0,521;R
ES0031400000000000TF0F;08/01/2024;18;0,802;R
ES0031400000000000TF0F;08/01/2024;19;0,959;R
ES0031400000000000TF0F;08/01/2024;20;0,775;R
ES0031400000000000TF0F;08/01/2024;21;0,757;R
ES0031400000000000TF0F;08/01/2024;22;0,835;R
ES0031400000000000TF0F;08/01/2024;23;0,327;R
ES0031400000000000TF0F;08/01/2024;24;0,284;R
ES0031400000000000TF0F;09/01/2024;1;0,275;R
ES0031400000000000TF0F;09/01/2024;2;0,477;R
ES0031400000000000TF0F;09/01/2024;3;0,333;R
ES0031400000000000TF0F;09/01/2024;4;0,458;R
ES0031400000000000TF0F;09/01/2024;5;0,365;R
ES0031400000000000TF0F;09/01/2024;6;0,215;R
ES0031400000000000TF0F;09/01/2024;7;0,5;R
ES0031400000000000TF0F;09/01/2024;8;0,651;R
ES0031400000000000TF0F;09/01/2024;9;0,691;R
ES0031400000000000TF0F;09/01/2024;10;0,978;R
ES0031400000000000TF0F;09/01/2024;11;0,955;R
ES0031400000000000TF0F;09/01/2024;12;0,75;R
ES0031400000000000TF0F;09/01/2024;13;0,846;R
ES0031400000000000TF0F;09/01/2024;14;0,764;R
